Dynobil Yatağan,₺0,₺0,₺0,₺0,"₺3,050","₺4,600","₺2,100","₺2,800","₺1,907","₺14,457"
Dynobil Nevşehir,₺450,"₺1,000","₺1,000","₺1,250","₺2,500","₺1,500",₺0,"₺1,000",₺0,"₺8,700"
Dynobil Niğde,₺400,₺0,₺600,₺700,"₺1,200","₺3,100","₺1,950","₺2,200","₺1,000","₺11,150"
Dynobil Ordu,₺0,₺0,₺0,₺0,₺0,₺0,₺0,₺600,"₺1,000","₺1,600"
Dynobil Ardeşen,₺0,"₺2,725","₺2,725","₺4,125","₺6,898","₺6,600","₺4,350","₺2,950","₺4,675","₺35,048"
Dynobil Adapazarı,₺0,₺0,₺0,₺0,₺0,"₺2,850",₺0,₺0,₺0,"₺2,850"
Dynobil Çarşamba,₺500,"₺2,000","₺3,000","₺3,500","₺2,000","₺4,000","₺4,500","₺2,000","₺3,000","₺24,500"
Dynobil Sivas,₺0,₺0,₺0,₺0,₺0,"₺8,500","₺6,000","₺8,000","₺9,000","₺31,500"
Dynobil Çorlu,"₺1,000","₺3,000","₺6,000","₺8,000","₺10,000","₺10,000","₺3,000","₺5,500","₺7,000","₺53,500"
Dynobil Çerkezköy,₺566,₺720,"₺2,150","₺2,200","₺3,850","₺3,950","₺2,950","₺2,650","₺2,900","₺21,936"
Dynobil Saray,₺400,"₺2,000","₺1,000","₺2,000","₺3,000","₺4,000","₺2,000","₺1,000","₺3,000","₺18,400"
Dynobil Tokat,₺0,"₺4,000","₺7,500","₺10,000","₺12,500","₺18,000","₺8,000","₺9,000","₺9,000","₺78,000"
Dynobil Niksar,₺0,₺0,₺500,"₺1,000","₺1,500","₺2,500","₺1,500",₺500,"₺1,000","₺8,500"
Dynobil Turhal,₺0,₺900,₺900,"₺2,000","₺2,200","₺2,550","₺1,300",₺500,₺300,"₺10,650"
Dynobil Ortahisar,₺500,"₺2,000","₺2,700","₺5,250","₺5,500","₺7,000","₺3,000","₺2,500","₺4,000","₺32,450"
Dynobil Of,₺0,"₺1,900","₺1,800","₺3,400","₺3,800","₺7,500","₺3,000","₺1,500","₺2,500","₺25,400"
Dynobil Şanlıurfa,₺100,₺988,"₺2,482","₺1,999","₺1,700","₺3,700","₺8,000","₺7,500","₺5,000","₺31,469"
Dynobil Siverek,₺0,₺500,"₺1,500","₺2,000","₺2,000","₺2,000","₺1,500","₺2,400","₺3,000","₺14,900"
Dynobil Uşak,"₺1,000","₺4,000","₺6,000","₺8,000","₺11,000","₺14,900","₺9,500","₺7,000","₺3,000","₺64,400"
Dynobil Sarıkaya,₺500,₺500,"₺2,000","₺1,500","₺3,250","₺2,500","₺3,000","₺2,500","₺2,000","₺17,750"
Dynobil Boğazlıyan,₺200,₺679,"₺1,195","₺1,660","₺1,400","₺1,725","₺1,450","₺1,240",₺920,"₺10,469"
Dynobil Yozgat,₺0,₺0,₺0,₺0,₺0,₺500,₺500,₺0,₺0,"₺1,000"
Dynobil Çaycuma,₺500,"₺1,700","₺3,000","₺4,500","₺7,250","₺8,000","₺3,000","₺4,950","₺3,400","₺36,300"
Dynobil Krdz Ereğli,₺500,"₺2,200","₺3,340","₺4,850","₺6,740","₺10,100","₺4,250","₺4,350",₺900,"₺37,230"
Dynobil Zonguldak,₺0,"₺1,140","₺2,100","₺3,350","₺5,600","₺5,000","₺2,750","₺3,250","₺2,050","₺25,240"
Dynobil Aksaray,₺200,₺900,"₺4,540","₺7,500","₺9,800","₺9,500","₺7,500","₺5,000","₺8,000","₺52,940"
Dynobil Kırıkkale,₺0,₺0,₺0,₺0,"₺3,500","₺9,290","₺4,000","₺4,970","₺3,800","₺25,560"
Dynobil Batman,₺0,₺0,"₺1,430",₺550,"₺2,282","₺2,460",₺0,₺600,"₺1,500","₺8,822"
Dynobil Cizre,₺600,"₺2,900","₺4,090","₺3,398","₺5,100","₺5,000","₺3,850","₺4,495","₺4,800","₺34,233"
Dynobil İdil,₺0,₺300,₺500,₺800,"₺1,400","₺1,000",₺800,₺800,"₺1,200","₺6,800"
Dynobil Bartın,₺0,"₺3,000","₺6,000","₺4,000","₺7,000","₺8,000","₺5,800","₺4,350","₺3,150","₺41,300"
Dynobil Yalova,₺300,"₺3,161","₺3,249","₺4,155","₺4,480","₺6,273","₺2,000","₺3,990","₺3,140","₺30,748"
Dynobil Karabük,₺400,"₺1,050","₺1,590","₺3,080","₺3,905","₺6,384","₺2,399","₺2,790","₺1,600","₺23,198"
Dynobil kilis,"₺1,000","₺3,000","₺4,000","₺6,000","₺10,000","₺10,000","₺7,000","₺6,000","₺6,000","₺53,000"
Dynobil Osmaniye,₺800,"₺4,800","₺9,800","₺14,000","₺16,500","₺19,500","₺12,000","₺14,500","₺13,500","₺105,400"
Dynobil Kadirli 1,₺500,"₺2,700","₺2,775","₺4,700","₺5,600","₺6,500","₺4,250","₺3,600","₺5,000","₺35,625"
Dynobil Kadirli 2,₺0,₺0,₺0,₺0,"₺1,500","₺2,500",₺500,"₺2,000","₺2,000","₺8,500"
Dynobil Düziçi,₺0,₺0,₺0,₺0,₺0,₺0,₺0,"₺1,000",₺200,"₺1,200"
Dynobil Düzce,₺0,₺0,"₺2,000","₺1,248","₺1,860","₺1,908",₺0,₺0,₺300,"₺7,316"
